=== 일괄 분석 결과 요약 (en -> kr) ===

분석된 파일 수: 231
평균 최종 점수: 0.7072
평균 프로소디 점수: 0.6367
평균 정렬 점수: 0.7248

사용된 임베딩 모델: laser
의미 유사도 임계값: 0.3

== 개별 파일 점수 ==
99. p225_067: 0.7243 (정렬: 0.7399, 등급: B)
100. p225_299: 0.7239 (정렬: 0.7522, 등급: B)
101. p225_257: 0.7233 (정렬: 0.7368, 등급: B)
102. p225_211: 0.7228 (정렬: 0.7469, 등급: B)
103. p225_172: 0.7228 (정렬: 0.7562, 등급: B)
104. p225_083: 0.7216 (정렬: 0.7528, 등급: B)
105. p225_058: 0.7215 (정렬: 0.7550, 등급: B)
106. p225_159: 0.7205 (정렬: 0.7312, 등급: B)
107. p225_218: 0.7183 (정렬: 0.7499, 등급: B)
108. p225_248: 0.7174 (정렬: 0.7376, 등급: B)
109. p225_142: 0.7172 (정렬: 0.7342, 등급: B)
110. p225_071: 0.7171 (정렬: 0.7537, 등급: B)
111. p225_316: 0.7158 (정렬: 0.7232, 등급: B)
112. p225_118: 0.7154 (정렬: 0.7333, 등급: B)
113. p225_179: 0.7143 (정렬: 0.7238, 등급: B)
114. p225_013: 0.7125 (정렬: 0.7367, 등급: B)
115. p225_225: 0.7116 (정렬: 0.7273, 등급: B)
116. p225_059: 0.7115 (정렬: 0.7333, 등급: B)
117. p225_057: 0.7110 (정렬: 0.7138, 등급: B)
118. p225_323: 0.7102 (정렬: 0.7252, 등급: B)
119. p225_357: 0.7091 (정렬: 0.7360, 등급: B)
120. p225_009: 0.7080 (정렬: 0.7363, 등급: B)
121. p225_335: 0.7080 (정렬: 0.7301, 등급: B)
122. p225_224: 0.7075 (정렬: 0.7113, 등급: B)
123. p225_171: 0.7071 (정렬: 0.7311, 등급: B)
124. p225_199: 0.7060 (정렬: 0.7059, 등급: B)
125. p225_166: 0.7052 (정렬: 0.7240, 등급: B)
126. p225_072: 0.7041 (정렬: 0.7157, 등급: B)
127. p225_280: 0.7033 (정렬: 0.7066, 등급: B)
128. p225_086: 0.7032 (정렬: 0.7253, 등급: B)
129. p225_027: 0.7013 (정렬: 0.7105, 등급: B)
130. p225_145: 0.7012 (정렬: 0.7105, 등급: B)
131. p225_208: 0.7001 (정렬: 0.7158, 등급: B)
132. p225_026: 0.6997 (정렬: 0.7233, 등급: B)
133. p225_346: 0.6981 (정렬: 0.7070, 등급: B)
134. p225_348: 0.6979 (정렬: 0.7152, 등급: B)
135. p225_116: 0.6955 (정렬: 0.7049, 등급: B)
136. p225_282: 0.6942 (정렬: 0.7041, 등급: B)
137. p225_352: 0.6941 (정렬: 0.7075, 등급: B)
138. p225_113: 0.6940 (정렬: 0.6954, 등급: B)
139. p225_157: 0.6933 (정렬: 0.6952, 등급: B)
140. p225_295: 0.6928 (정렬: 0.7111, 등급: B)
141. p225_109: 0.6922 (정렬: 0.7026, 등급: B)
142. p225_264: 0.6908 (정렬: 0.7045, 등급: B)
143. p225_353: 0.6908 (정렬: 0.7166, 등급: B)
144. p225_193: 0.6900 (정렬: 0.7421, 등급: B)
145. p225_244: 0.6877 (정렬: 0.6984, 등급: B)
146. p225_243: 0.6876 (정렬: 0.7141, 등급: B)
147. p225_011: 0.6872 (정렬: 0.6825, 등급: B)
148. p225_016: 0.6861 (정렬: 0.7005, 등급: B)
149. p225_332: 0.6859 (정렬: 0.6861, 등급: B)
150. p225_356: 0.6843 (정렬: 0.6937, 등급: B)
151. p225_331: 0.6837 (정렬: 0.7028, 등급: B)
152. p225_035: 0.6826 (정렬: 0.6921, 등급: B)
153. p225_237: 0.6815 (정렬: 0.6783, 등급: B)
154. p225_358: 0.6806 (정렬: 0.7105, 등급: B)
155. p225_197: 0.6792 (정렬: 0.6912, 등급: B)
156. p225_144: 0.6768 (정렬: 0.6928, 등급: B)
157. p225_120: 0.6762 (정렬: 0.6904, 등급: B)
158. p225_274: 0.6758 (정렬: 0.6864, 등급: B)
159. p225_287: 0.6750 (정렬: 0.6769, 등급: B)
160. p225_065: 0.6749 (정렬: 0.6715, 등급: B)
161. p225_007: 0.6734 (정렬: 0.6971, 등급: B)
162. p225_053: 0.6731 (정렬: 0.6801, 등급: B)
163. p225_033: 0.6728 (정렬: 0.6814, 등급: B)
164. p225_044: 0.6723 (정렬: 0.6723, 등급: B)
165. p225_266: 0.6714 (정렬: 0.6728, 등급: B)
166. p225_238: 0.6713 (정렬: 0.6872, 등급: B)
167. p225_210: 0.6696 (정렬: 0.6886, 등급: B)
168. p225_202: 0.6673 (정렬: 0.6803, 등급: B)
169. p225_258: 0.6661 (정렬: 0.6811, 등급: B)
170. p225_117: 0.6641 (정렬: 0.6712, 등급: B)
171. p225_123: 0.6632 (정렬: 0.6664, 등급: B)
172. p225_291: 0.6629 (정렬: 0.6492, 등급: B)
173. p225_296: 0.6626 (정렬: 0.6679, 등급: B)
174. p225_268: 0.6615 (정렬: 0.6496, 등급: B)
175. p225_277: 0.6596 (정렬: 0.6709, 등급: B)
176. p225_336: 0.6578 (정렬: 0.6584, 등급: B)
177. p225_025: 0.6572 (정렬: 0.6554, 등급: B)
178. p225_337: 0.6538 (정렬: 0.6706, 등급: B)
179. p225_195: 0.6528 (정렬: 0.6713, 등급: B)
180. p225_066: 0.6518 (정렬: 0.6566, 등급: B)
